8 2
1 1 0.0
1 2 4.216415004423569
2 1 6.6907228607805305
2 2 -1.7535596405519744
1 3 0.2647058332621201
2 4 0.015510712105955358
3 3 -5.730188707032883
3 4 5.1873055122666205
4 3 7.972679424015098
4 4 -5.092554899640016
3 5 0.09834785140535063
4 6 0.17982711229763948
3 2 0.23863057010142208
4 2 0.05742245535075838
5 5 6.834856851403836
5 6 -9.281391152123634
6 5 -1.466254339317242
6 6 3.7724716054985095
5 7 0.09855889067110832
6 8 0.11551440095443734
5 4 0.0830004815233651
6 4 0.10829969876770955
7 7 7.452299054626982
7 8 -3.8619606889395466
8 7 -7.107589544296311
8 8 5.317104757954382
7 6 0.10440792407616219
8 6 0.12767823695875638
